,会社名,求人タイトル,項目C
164,株式会社三河屋 | ★完全週休2日制 ★住宅補助あり ★同期入社多数,未経験デビューを応援！ゼロから始める【 エンジニア候補生 】 正社員,
165,株式会社日本ビジネス開発 | 【東京・大阪・名古屋】◆残業なし◆毎月支給のインセンティブ有,業界未経験OK！官公庁・自治体への【ルート営業】年休125日以上 正社員,
166,エスセンス株式会社 | 大手と直取引★Salesforce/RPA/IoT案件多数,★前職給与保証【SE/PG】*残業ゼロ*年休120日以上*案件多数 正社員,
167,ナガヤ塗料株式会社 | 毎年必ず昇給｜インセンティブ・報奨金あり｜残業月平均20h以下,★未経験スタートも歓迎★塗料の【ルート営業】*年間休日114日 正社員,
168,パーソルエクセルHRパートナーズ株式会社 | 在宅勤務あり｜完全週休2日(土日)｜年休120日以上｜残業ほぼ無,パナソニックグループなど安定企業で働く♪【貿易事務スタッフ】 紹介予定派遣,
169,住友生命保険相互会社 | 東京北支社＊休日120日以上＊土日休み＊カジュアルWEB面談実施中,【ライフデザイナー】先輩は未経験から＊まずは会社見学から 正社員,
170,株式会社property technologies | 不動産テック事業を展開し、グループ売上高は290億円を突破！,AIを駆使した不動産プラットフォーム開発に携わる！【総合職】 正社員,
171,株式会社野村総合研究所 | （NRI）東証一部上場★海外研修など豊富な研修制度あり,【システムエンジニア(インフラ/ミドル/アプリ開発)】※福岡募集 正社員,
172,株式会社リクルートスタッフィング情報サービス | スキルを身に付けワンランクアップできる★賞与年2回★WEB面接OK,【ITサポート事務】未経験歓迎♪残業月平均6h♪年間休日124日 正社員,
173,株式会社リクルートスタッフィング情報サービス | リクルートグループで安定したキャリアを！98％が未経験スタート,【初級ITエンジニア】★賞与年2回★年間休日124日★未経験歓迎 正社員,
174,株式会社Be-range | 「やりたいこと」を実現する会社製品開発・リリースの実例あり,研修3ヵ月！未経験から自由に成長【ITエンジニア】★定着率100％ 正社員,
175,株式会社エヌエルプラス | ★大手企業と多数取引あり ★ポジション多数・スピード昇格可,ICT技術を活用し企業の課題解決【新規事業BPOマネジャー】 正社員,
176,株式会社野村総合研究所 | （NRI） 東証一部上場★海外研修など豊富な研修制度あり,【総合職】WEBアプリ/システムコンサルタント/札幌募集 正社員,
177,株式会社ゼディアロード | グループの安心感！スタートアップ企業で0からキャリアを築ける,＼創業メンバー／経験ゼロから始める【ITエンジニア】※土日祝休 正社員,
178,株式会社プラウドフロー | 年休125日以上★土日祝休★入社2年で手取り24万円可！,応募資格を満たす方全員面接！9割超が未経験【ITエンジニア】 正社員,
179,アクロ株式会社 | ◆やりたい仕事を選べる ◆収入は平均1.5～2倍に ◆長期休暇も可,【ITエンジニア】売上単価の85％以上を給与支給◆在宅・副業OK 正社員,
180,株式会社スタッフサービス | <在宅あり>豊富な研修制度★育休取得率100％★女性活躍中,在宅勤務＆お休みたっぷりの【事務】プライベート充実の働き方♪ 正社員,
181,株式会社アップコム | コロナ禍においても売上208％増の成長企業！全国募集＆転勤なし,【人材コーディネーター】完全週休2日／転勤なし／未経験歓迎 正社員,
182,日鉄ソリューションズ株式会社 | 【東証一部上場】業界有数のプライムSIer◎リモートワーク実施,【ITソリューション営業】NSSOLらしい高度で大規模な提案に挑戦 正社員,
183,株式会社ココロザシ | 定着率100%！<副業OK／年間休日130日／残業月平均10時間以下>,【WEB開発エンジニア】開発・クラウドインフラ/前職給与保証 正社員,
184,デロイト トーマツ コンサルティング合同会社,【コンサルタント(インダストリーサービス）】東京/大阪/福岡 正社員,
185,損害保険ジャパン株式会社 | 未経験大歓迎／転勤なし♪／賞与年2回／産育休実績多数,女性社員活躍中◆土日祝休み◆在宅勤務も可【事務】★全国募集 契約社員,
186,株式会社システナ | ★東証一部★年休128日★土日祝休★リモートワークも実施中,【企画職】ますます広がるITの可能性にチャレンジ ★未経験OK 正社員,
187,クイック・ネットワーク株式会社 | 従業員数3600名超を誇るジーライオングループ｜完全リモート勤務,買取る仕事ではありません！中古車の【訪問査定・検査スタッフ】 正社員,
188,株式会社IDOM | ～日本全国で『Gulliver』を展開する、東証一部上場企業～,【カーライフプランナー】★未経験～成長ok！★賞与平均＝3ヶ月 正社員,
189,株式会社エーアイエス | 東証一部上場の株式会社Ubicomホールディングスのグループ！,医療×ITで業界に貢献！【開発運用エンジニア】★年休122日以上 正社員,
190,デロイト トーマツ コンサルティング合同会社,IT戦略コンサルタント（テクノロジーアドバイザリー） 正社員,
191,株式会社コンフィデンス | ＜東証マザーズ上場企業＞安定の正社員で活躍！残業月平均15.8h,【ゲームクリエイター（プランナー/デザイナー/PG/デバッグ）】 正社員,
192,株式会社イーガオ | 【社員の笑顔が事業目的！】◆残業月平均6H◆年間休日127日,キャリアを自分で創れる！【ITエンジニア】★リモート率86.5% 正社員,
193,株式会社ルーデル | #正社員登用実績多数 #週休2日(土日祝) #服装・髪型自由,どんなときでも、攻め続ける。【ゲームプランナー】★年休127日 契約社員,
194,"EBA株式会社 | ＼ 上場企業含むIT業界全4,400社中「17位」のホワイト企業！／",エンタメなど案件多彩【Webデザイナー/ディレクター】*前給保証 正社員,
195,アクセンチュア株式会社 | ＼オンライン説明会への参加も受付中／★年間休日120日以上,クライアントとともにDXを実現する【 BPOリーダー候補 】 正社員,
196,パーソルエクセルHRパートナーズ株式会社 | テレワーク有｜年休120日｜土日休｜年収400万～可｜社員雇用前提,在宅勤務有＆残業無！パナソニックグループの【事務】経験者募集 紹介予定派遣,
197,AIG損害保険株式会社 | 全国募集！好きな地域で腰を据えて働ける！,【保険金支払担当】未経験／第二新卒歓迎★人柄重視の採用！ 正社員,
198,あおぞら経営税理士法人 | <公認会計士が3名在籍する県内有数の税理士法人>産育休実績多数,<未経験歓迎>【 税務アシスタント 】★土日祝休｜年休120日以上 正社員,
199,テン・グループ・ジャパン株式会社 | 安定成長中のグローバル企業/残業ほぼなし/最長1ケ月の長期休暇,【サービスアンバサダー(入電対応)】★フルリモート可能 正社員,
200,ディーピーティー株式会社 | 《人材ソリューション事業・愉しく働ける会社No.1！(※)》,【ITエンジニア】実務未経験OK！技術者としての成長をサポート 正社員,
201,KDDIエンジニアリング株式会社 | ★「健康経営優良法人2021」認定★残業月15~20h程度★36協定順守,＼30歳まで限定／KDDIグループの【技術系総合職】★土日祝休み 正社員,
202,株式会社ICSソリューションズ | 大手企業など実績多数／土日祝休【大阪府緊急雇用対策に賛同】,+αのスキルが身につく♪【営業アシスタント】※年間休日128日 正社員,
203,株式会社Vユーアイ | Web/ゲーム開発/ロボット無人コンビニ運営を展開するUIグループ,ITスキルも身につく【事務スタッフ】未経験歓迎／年休125日 正社員,
